,Athlete_Name,Opponent_Name,W/L
0,AJ Agazarm ,Alex Cabanes ,1
1,AJ Agazarm ,Alex Huddleston ,1
2,AJ Agazarm ,Andreas Perales ,3
3,AJ Agazarm ,Ary Farias ,1
4,AJ Agazarm ,Ashley Williams,1
5,AJ Agazarm ,Casey Ryan ,1
6,AJ Agazarm ,DJ Jackson ,1
7,AJ Agazarm ,Davi Ramos ,1
8,AJ Agazarm ,Deandre Corbe ,1
9,AJ Agazarm ,Eduardo Telles ,2
10,AJ Agazarm ,Enrico Cocco ,2
11,AJ Agazarm ,Ethan Crelinsten,1
12,AJ Agazarm ,Felipe Silva ,1
13,AJ Agazarm ,Gabriel Lucas ,1
14,AJ Agazarm ,Issa Able ,1
15,AJ Agazarm ,James Puopolo,1
16,AJ Agazarm ,Jason Hayden ,1
17,AJ Agazarm ,John Combs,2
18,AJ Agazarm ,Kevin Mahecha ,5
19,AJ Agazarm ,Kim Terra ,2
20,AJ Agazarm ,Lachlan Giles,1
21,AJ Agazarm ,Magid Hage ,1
22,AJ Agazarm ,Marcel Goncalves ,1
23,AJ Agazarm ,Nicky Ryan,1
24,AJ Agazarm ,Nicollas Welker ,1
25,AJ Agazarm ,Oliver Taza,1
26,AJ Agazarm ,Otavio Sousa ,1
27,AJ Agazarm ,Pablo Mantovani ,1
28,AJ Agazarm ,Piter Frank ,1
29,AJ Agazarm ,Richie Martinez ,1
30,AJ Agazarm ,Robert Malof ,1
31,AJ Agazarm ,Rodrigo Freitas ,2
32,AJ Agazarm ,Ron Henderson ,1
33,AJ Agazarm ,Samir Chantre ,2
34,AJ Agazarm ,Stanley Rosa ,1
35,AJ Agazarm ,Steven Barnett ,1
36,AJ Agazarm ,Thiago Macedo ,1
37,AJ Sousa ,AJ Agazarm ,2
38,AJ Sousa ,Alex Cabanes ,1
39,AJ Sousa ,Arnaldo Maidana ,1
40,AJ Sousa ,Celso Vinicius ,1
41,AJ Sousa ,Dennis Hallman ,1
42,AJ Sousa ,Ed Ramos ,1
43,AJ Sousa ,Felipe Silva ,1
44,AJ Sousa ,Lucas Lepri ,1
45,AJ Sousa ,Marcus Wilson ,1
46,AJ Sousa ,Matheus Luna ,1
47,AJ Sousa ,Michael Liera Jr. ,1
48,AJ Sousa ,Osvaldo Queixinho Moizinho ,1
49,AJ Sousa ,Pedro Palhares ,1
50,AJ Sousa ,Tarsis Humphreys ,1
51,AJ Sousa ,Victor Nathiel ,1
52,AJ Sousa ,Vitor Schlosser ,1
53,"Aaron ""Tex"" Johnson",Alexandre Bueno de Oliveira ,1
54,"Aaron ""Tex"" Johnson",Andrew Kimler ,1
55,"Aaron ""Tex"" Johnson",Andrew Tevay ,1
56,"Aaron ""Tex"" Johnson",Arnaldo Maidana ,2
57,"Aaron ""Tex"" Johnson",Ben Hodgkinson ,1
58,"Aaron ""Tex"" Johnson",Brian Beaury ,1
59,"Aaron ""Tex"" Johnson",Christian Simmerling ,1
60,"Aaron ""Tex"" Johnson",Damon Morgan ,1
61,"Aaron ""Tex"" Johnson",David Garmo,2
62,"Aaron ""Tex"" Johnson",Eliot Kelly ,1
63,"Aaron ""Tex"" Johnson",Eliot Marshall ,1
64,"Aaron ""Tex"" Johnson",Felipe Pena,1
65,"Aaron ""Tex"" Johnson",Fellipe Trovo,1
66,"Aaron ""Tex"" Johnson",Frisco Deleon ,1
67,"Aaron ""Tex"" Johnson",Giancarlo Bodoni ,1
68,"Aaron ""Tex"" Johnson",Gilvan Costa ,1
69,"Aaron ""Tex"" Johnson",Gordon Ryan,1
70,"Aaron ""Tex"" Johnson",Gustavo Andrade ,1
